business_name,address,phone,email,website,total_reviews,replied_count,reply_rate,star_rating
Dough Boss Revesby,"12/25 Selems Parade, Revesby NSW 2212",(02) 9774 2286,,http://doughboss.com.au/,313,14,70%,4.1
Zaatar w Zeit,"3/106 Milperra Rd, Revesby NSW 2212",0452 323 232,,,245,16,80%,4.6
Panania Chinese Restaurant,"4/130 Tower St, Panania NSW 2213",(02) 9773 3087,,,150,0,0%,4.4
Rocs and Rolls Restaurant,"52 Simmons St, Revesby NSW 2212",0491 240 579,rocsandrolls@gmail.com,https://www.facebook.com/Rocs-Rolls-restaurant-107173914044712/,184,0,0%,4.0
Vanilla Bean & Lime Cafe,"61 Howard Rd, Padstow NSW 2211",(02) 9774 3875,,,402,10,50%,4.4
Milperra Kiosk Gourmet Foods,"Unit 3/10 Amour St, Milperra NSW 2214",0425 133 510,,,214,10,50%,4.7
Elatte Cafe,"101 Villiers Rd, Padstow Heights NSW 2211",(02) 8764 6777,,,509,12,60%,4.5
Fat Pizza Manoush (Halal),"14/133 The River Rd, Revesby NSW 2212",(02) 8710 7189,,,163,0,0%,4.2
Enzo's Cucina Panania,"142 Tower St, Panania NSW 2213",(02) 9771 6225,panania@enzoscucina.com.au,https://enzoscucina.com.au/panania/,348,2,10%,4.1
Revesby Pacific Hotel,"178 The River Rd, Revesby NSW 2212",(02) 9774 5344,,http://www.revesbypacifichotel.com.au/,191,2,10%,3.9
CHA Point Revesby,"Unit 7/19-29 Marco Ave, Revesby NSW 2212",,,http://chapoint.com.au/,339,20,100%,4.3
Thai Elephant @ Milperra,"Shop 5/6 Bullecourt Ave, Milperra NSW 2214",(02) 9792 6191,,,236,0,0%,4.5
Panania Hotel,"63 Anderson Ave, Panania NSW 2213",(02) 9773 7680,manager@pananiahotel.com,https://www.pananiahotel.com.au/?utm_source=google&utm_medium=organic&utm_campaign=Google%20My%20Business&utm_content=Panania%20Hotel%20-%20Panania&utm_term=plcid_3225941333175689997,565,4,20%,4.0
Frankie's Food Factory Milperra,"Shop 5/479 Henry Lawson Dr, Milperra NSW 2214",(02) 9899 2299,info@frankiesfoodfactory.com.au,http://www.frankiesfoodfactory.com.au/,1424,4,20%,4.2
House of Lee,"33 Padstow Parade, Padstow NSW 2211",(02) 9773 7351,,https://m.facebook.com/House-Of-Lee-148952268479699/,188,4,20%,4.2
Padstow Park Hotel,"31/33 Howard Rd, Padstow NSW 2211",(02) 9792 2100,,http://padstowparkhotel.com.au/,762,18,90%,4.2
Padstow Inn Chinese Restaurant,"112 Cahors Rd, Padstow NSW 2211",(02) 9774 2475,,https://www.padstowinn.com.au/home/,131,0,0%,4.1
Revesby Village Centre,"20 Blamey St, Revesby NSW 2212",(02) 9771 0263,,http://www.revesbyvillagecentre.com.au/,200,0,0%,4.3
Kadeli Gourmet Deli Cafe,"2/229 Tower St, Panania NSW 2213",(02) 9773 1995,info@test.com,https://revu.website/143950,164,0,0%,4.5
Watsup Brothers Condell Park,"149 Eldridge Rd, Condell Park NSW 2200",(02) 8764 3236,hello@watsupbrothers.com.au,http://watsupbrothers.com/,2354,0,0%,4.4
Thai Elephant PADSTOW,"19A Faraday Rd, Padstow NSW 2211",(02) 9773 9678,,,281,0,0%,4.2
Doytao Thai | Padstow,"1/18 Howard Rd, Padstow NSW 2211",(02) 9773 9599,info@doytaothai.com.au,https://doytaothai.com.au/order/thai-restaurant-padstow/,373,0,0%,4.0
Woolworths Revesby,"60 Marco Ave, Revesby NSW 2212",(02) 8709 4324,,https://www.woolworths.com.au/shop/storelocator/nsw-revesby-1402?utm_source=google&utm_medium=organic&utm_campaign=googleplaces&utm_content=woolworths_supermarkets_1402,2231,0,0%,4.0
Padstow Seafoods,"25 Padstow Parade, Padstow NSW 2211",(02) 9773 9431,,,140,0,0%,4.5
Revesby Greens,"1 Spence St, Revesby NSW 2212",(02) 9773 6752,,https://revesbygreens.com.au/,110,0,0%,4.2
OG Burgers,"85 Gibson Ave, Padstow NSW 2211",(02) 8773 6599,,,156,10,50%,4.6
Marrow & Co.,"8 Greenfield Parade, Bankstown NSW 2200",(02) 9722 9888,,https://www.bankstownsports.com/marrow-co?utm_content=Marrow+and+Co.+-+Bankstown&utm_campaign=Google+My+Business&utm_medium=organic&utm_source=google&utm_term=plcid_11347655401973891213,494,20,100%,4.7
Fresh Tama Sushi,"1a Padstow Parade, Padstow NSW 2211",0405 122 116,,,271,0,0%,4.6
Sydneys Wings And Things,"151 Canterbury Rd, Bankstown NSW 2200",0452 177 199,,http://facebook.com/sydneywingsnthings/,1154,0,0%,4.3
Daily Garden Chinese Take Away,"1/120 Ashford Ave, Milperra NSW 2214",(02) 9792 6060,,,148,0,0%,4.1
Revesby,Revesby NSW 2212,,,,96,0,0%,4.1
Picnic Point Chinese Restaurant,"119-121 Kennedy St, Picnic Point NSW 2213",(02) 9772 2022,,http://picnicpoint-chineserestaurant.com.au/,174,0,0%,4.3
Pearl Nails and Beauty Revesby,"Centre, Suite 5/20-30 Blamey St, Revesby NSW 2212",(02) 9771 4819,,https://m.facebook.com/pg/Pearl-Nails-Revesby-Village-Centre-633874783423438/reviews/,720,0,0%,4.1
Titanic Restaurant & Café,"49 Raymond St, Bankstown NSW 2200",(02) 9708 3688,info@titaniccafe.com.au,http://www.titaniccafe.com.au/,849,2,10%,4.2
George's Takeaway,"130 Cahors Rd, Padstow NSW 2211",(02) 9772 1302,,,103,0,0%,4.5
Revesby Grind,"19/19-29 Marco Ave, Revesby NSW 2212",(02) 9774 4885,,,131,4,20%,4.5
King's View Chinese,"246 Belmore Rd, Riverwood NSW 2210",(02) 9153 5815,,https://kingsviewchinese.yumbojumbo.com.au/,152,0,0%,4.2
Russo's Pizzeria Ristorante,"2/133 The River Rd, Revesby NSW 2212",(02) 9774 4422,,,110,0,0%,3.6
Chicken Wizard,"3/130 Tower St, Panania NSW 2213",(02) 9773 3822,js-base64@3.7.7.js,https://chickenwizard.mobi-order.com/,346,0,0%,3.7
CAV’S KEBABS,"5 Revesby Pl, Revesby NSW 2212",0422 222 145,hi@mystore.com,http://www.cavskebabs.com/,94,0,0%,4.2
XS Espresso Revesby,"11/25 Selems Parade, Revesby NSW 2212",(02) 8102 4314,,https://www.xsespresso.com.au/,269,10,50%,3.7
Fiks coffee,"91 Gibson Ave, Padstow NSW 2211",(02) 8739 9403,,,95,16,80%,4.7
Grain'd Cafe,"shop 2/36 Selems Parade, Revesby NSW 2212",(02) 9773 6589,,,396,2,10%,4.6
Breakfoosh,"144 Eldridge Rd, Condell Park NSW 2200",(02) 9892 4114,,,93,0,0%,4.8
Caffe Due Amici,"4/156 Alma Rd, Padstow NSW 2211",(02) 8764 3979,,https://www.facebook.com/cafedueamicipadstow/,220,0,0%,4.8
Morning Hit Drive Thru,"165 Canterbury Rd, Bankstown NSW 2200",0466 448 886,,,204,6,30%,4.8
Taste of Aromatic Bakery,"20 Marco Ave, Revesby NSW 2212",(02) 9771 2753,,,118,0,0%,4.8
Manoush on Queens,"100B Queen St, Revesby NSW 2212",0499 120 581,,,215,4,20%,4.5
Café 31,"31B Ogilvy St, Peakhurst NSW 2210",(02) 9534 5950,,http://www.cafe31.com.au/,195,16,80%,4.5
Pod By Peter,"27 Padstow Parade, Padstow NSW 2211",(02) 8764 0095,,,457,0,0%,4.5
Lisbon Love Patisserie Panania,"188 Tower St, Panania NSW 2213",0433 884 141,,http://lisbon-panania.edan.io/,142,2,10%,4.5
The Shop Picnic Point,"2 Doris St, Picnic Point NSW 2213",(02) 9785 4311,,,327,20,100%,4.5
Cafe Roman,"262 Belmore Rd, Riverwood NSW 2210",,,,848,2,10%,4.5
Chill Bean Cafe,"92 Anderson Ave, Panania NSW 2213",(02) 9792 4503,,,93,8,40%,4.6
Gourmet On Ashford,"6/120 Ashford Ave, Milperra NSW 2214",(02) 9771 0055,,,83,6,30%,4.5
Sienna On Forest,"1/1012 Forest Rd, Lugarno NSW 2210",0426 416 860,,,185,2,10%,4.5
Sage Bakehouse,"38 Anderson Ave, Panania NSW 2213",,,,130,0,0%,4.3
Jane + James Espresso,"5/48 Anderson Ave, Panania NSW 2213",,,http://facebook.com/janeandjames,160,2,10%,4.5
Manoush & Co,"152 Alma Rd, Padstow NSW 2211",0461 455 504,manoushandco@gmail.com,https://www.manoushandco.com/,230,8,40%,4.3
Sunshine Meats,"360 Horsley Rd, Milperra NSW 2214",(02) 9774 5543,info@sunshinemeats.com.au,http://www.sunshinemeats.com.au/,163,0,0%,4.7
CoffeePoint,"125 Kennedy St, Picnic Point NSW 2213",0451 232 213,coffeepoint2213@gmail.com,https://www.facebook.com/coffeepoint2213/,111,0,0%,4.2
Cafe on Pindari,"42 Pindari Rd, Peakhurst Heights NSW 2210",0406 534 597,,https://cafeonpindari.com.au/,137,16,80%,4.6
Blooming Cafe and Restaurant,"Shop 17/32 Kitchener Parade, Bankstown NSW 2200",(02) 5564 8007,abu@bloomingcafe.com.au,https://www.bloomingcafe.com.au/?utm_source=google&utm_medium=gbp&utm_campaign=local-search,623,0,0%,4.8
Marosh Bakery Cafe,"2/2 -10 Restwell St, Bankstown NSW 2200",(02) 8790 7859,,,100,8,40%,4.4
Woof Gateaux,"Unit 5/26 Truro Parade, Padstow NSW 2211",0426 233 601,info@woofgateaux.com.au,https://woofgateaux.com.au/,410,14,70%,4.9
The Shed Cafe - Bankstown,"North Terrace Bankstown Central - Shop KI101, Bankstown NSW 2200",(02) 9644 1362,,https://theshedcafe.com.au/bankstown/?utm_term=plcid_11984987284599534328&utm_source=google&utm_medium=organic&utm_campaign=Google+My+Business&utm_content=The+Shed+Cafe+-+Bankstown,201,18,90%,4.5
Flying Zebra,"68 Bankstown City Plaza, Bankstown NSW 2200",(02) 8102 7267,,https://www.facebook.com/210906183035102/,91,0,0%,4.4
Zarraffa's Coffee Bankstown,"HomeCo. Bankstown, 9/67 Chapel Rd, Bankstown NSW 2200",(02) 8722 0824,bankstown@zarraffas.com,https://zarraffas.com/bankstown?utm_source=google&utm_medium=organic&utm_campaign=Google%20My%20Business&utm_content=Zarraffa%27s%20Coffee%20Bankstown%20-%20Bankstown,729,8,40%,4.3
Moxon Cafe,"u3/21 Moxon Rd, Punchbowl NSW 2196",(02) 9796 7451,,,83,0,0%,4.4
Cafe on the Boulevarde,"248 The Boulevarde, Punchbowl NSW 2190",0451 012 592,,https://www.facebook.com/pg/CafeBoulevarde,87,4,20%,4.6
LA Moosh Bakery Cafe,"1/9-11 Bankstown City Plaza, Bankstown NSW 2200",(02) 8733 0788,,https://www.facebook.com/La-Moosh-Bakery-Cafe-1506220546344870/?fref=ts,148,2,10%,4.8
Glaçage,"2/465 Chapel Rd, Bankstown NSW 2200",(02) 8766 4666,info@glacage.com.au,https://m.facebook.com/glacagebankstown/,587,0,0%,4.4
Harry's House Bankstown,"290 Chapel Rd, Bankstown NSW 2200",(02) 9796 1578,,,228,4,20%,4.5
Lianna Cafe,"229 Tower St, Panania NSW 2213",0470 436 437,,,81,4,20%,3.7
CHA Point Riverwood,"58 Thurlow St, Riverwood NSW 2210",,,http://chapoint.com.au/,373,14,70%,4.4
Lena’s Cafe,"357 Chapel Rd, Bankstown NSW 2200",(02) 9793 7915,,https://www.facebook.com/lilhideoutcafe?mibextid=LQQJ4d,174,0,0%,4.6
Window's Coffee Bankstown,"256 Chapel Rd, Bankstown NSW 2200",(02) 9790 4800,,http://www.facebook.com/pages/windows-coffee-Banstown/122448307811167,201,0,0%,3.9
Affiniti Cafe,"C/69 The Mall, Bankstown NSW 2200",(02) 9709 4408,,,130,2,10%,4.2
Flip Out Revesby Junior,"Workers Club, Level 1/2B Brett St, Revesby NSW 2212",(02) 9792 4859,revesby@flipout.com.au,https://flipout.com.au/locations/revesby/,259,20,100%,3.8
Cornerstone Coffee & Kitchen,"8 Greenfield Parade, Bankstown NSW 2200",(02) 9722 9888,,https://www.bankstownsports.com/cornerstone?utm_content=Cornerstone+Coffee+and+Kitchen+-+Bankstown&utm_campaign=Google+My+Business&utm_medium=organic&utm_source=google&utm_term=plcid_9647248588861787247,95,20,100%,3.6
San Churro Bankstown,"8 Greenfield Parade, Bankstown NSW 2200",(02) 9793 2403,,https://www.facebook.com/sanchurrobankstown,940,2,10%,4.4
The Plaza Cafe Bankstown,"100 Bankstown City Plaza, Bankstown NSW 2200",0450 553 000,,,117,2,10%,4.7
The Coffee Emporium Bankstown 2,"Shop ML436/1 North Terrace, Bankstown NSW 2200",(02) 9709 6564,supportoffice@thecoffeeemporium.com.au,http://www.thecoffeeemporium.com.au/,549,14,70%,4.1
Monkey Mania Bankstown,"8 Greenfield Parade, Bankstown NSW 2200",(02) 9722 9863,,http://www.monkeymania.com.au/,933,18,90%,4.1
RASHAYS - Punchbowl,"Shop 28/1-9 Broadway, Punchbowl NSW 2196",(02) 9062 5211,customerservice@rashays.com,https://rashays.com/find-us/restaurants/punchbowl/,2274,14,70%,4.0
Coco Bean Cafe,"1/434 Chapel Rd, Bankstown NSW 2200",(02) 8739 6455,,,100,0,0%,4.5
Caffeine and Dough Punchbowl,"849 Punchbowl Rd, Punchbowl NSW 2196",0492 666 777,,,321,2,10%,4.7
Mataam Al Mandi Punchbowl,"4 767Punchbowl Rd, Punchbowl NSW 2196",(02) 9681 7162,localoria.com@gmail.com,https://mataamalmandipunchbowl.shop/,1181,0,0%,3.9
Daptos Punchbowl,"2/709 Punchbowl Rd, Punchbowl NSW 2196",(02) 8018 5929,,https://daptos.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb_Website,241,0,0%,4.5
Crazy Buns,"69-71 Belmore Rd North, Punchbowl NSW 2196",,,https://crazybuns.com.au/,123,0,0%,4.8
La Piccolo,"77 Wattle St, Punchbowl NSW 2196",(02) 8094 8400,,http://www.lapiccolo.com.au/,182,8,40%,4.6
Al Yasmin Restaurant,"222The Boulevarde, Punchbowl NSW 2196",(02) 9740 7866,,http://alyasmin.com.au/,1454,0,0%,4.4
Jessie Land Punchbowl,"1/5 Breust Pl, Punchbowl NSW 2196",0406 211 112,,,104,10,50%,3.7
Mataam Al Arabi Punchbowl,"17-19 South Terrace, Punchbowl NSW 2196",(02) 8773 5141,contact@mataamalarabi.com,http://www.mataamalarabi.com/,748,0,0%,4.0
AFANDI RESTOCAFE,"19 Breust Pl, Punchbowl NSW 2196",0449 996 663,,https://m.facebook.com/afandicoffeeonsand/,435,2,10%,4.5
Lala's Burgers Punchbowl,"4/244 The Boulevarde, Punchbowl NSW 2196",0414 618 801,,,166,2,10%,4.2
Chubby Buns Burgers Punchbowl,"1600 Canterbury Rd, Punchbowl NSW 2196",0420 611 161,,,1342,0,0%,4.3
The Kebab BROTHER'S,"280 The Boulevarde, Punchbowl NSW 2196",(02) 9740 5760,,http://thekebabbrothers.com.au/,218,12,60%,4.1
TROPICANA COCKTAILS PUNCHBOWL,"3/226 The Boulevarde, Punchbowl NSW 2196",(02) 8068 5484,instagram@tropicana.syd,http://www.tropicanacocktails.com.au/,766,6,30%,4.3
Hangoutz,"77 King Georges Rd, Wiley Park NSW 2195",0425 309 029,,,384,0,0%,4.5
Butt Karahi & Biryani,"285 The Boulevarde, Punchbowl NSW 2196",0414 310 517,,,204,0,0%,4.3
Basement Brewhouse,"8 Greenfield Parade, Bankstown NSW 2200",(02) 9722 9888,,https://www.bankstownsports.com/brewhouse?utm_content=Basement+Brewhouse+-+Bankstown&utm_campaign=Google+My+Business&utm_medium=organic&utm_source=google&utm_term=plcid_2063883651935447757,176,20,100%,4.2
Baked Sydney,"Broadway, Punchbowl NSW 2196",(02) 9166 5900,,https://bakedsydney.com.au/,124,0,0%,3.8
Yum Yum Bakery Punchbowl,"1/709 Punchbowl Rd, Punchbowl NSW 2196",(02) 9740 3459,,,265,0,0%,4.2
Street Kid Cafe,"244 The Boulevarde, Punchbowl NSW 2196",,,,90,4,20%,4.1
Volcanos Steakhouse Bankstown,"Shop 1 2/4 West Terrace, Bankstown NSW 2200",1300 787 737,,https://volcanos.com.au/,7525,20,100%,4.7
Jasmin1,"222 South Terrace, Bankstown NSW 2200",(02) 9790 7999,yourmail@gmail.com,https://www.ozfoodhunter.com.au/jasmin1,1833,0,0%,4.0
Shisha Del Mondo Restaurant & Cafe,"1/465-469 Chapel Rd, Bankstown NSW 2200",(02) 8112 4894,,,416,2,10%,4.6
Taste of Egypt,"2/18-20 Greenfield Parade, Bankstown NSW 2200",0410 287 714,uncle.saiid@gmail.com,https://www.facebook.com/Taste-of-Egypt-1574762629493618/,495,4,20%,4.4
Malaysian Groceries,"Shop 3/36 Rossmore Ave, Punchbowl NSW 2196",0476 998 705,malaysiangroceries7@gmail.com,https://www.facebook.com/profile.php?id=100063745800929&mibextid=LQQJ4d,156,0,0%,4.7
Al Afrah Pastry,"751 Punchbowl Rd, Punchbowl NSW 2196",(02) 9708 2774,,http://www.alafrahpastry.com.au/,390,4,20%,4.2
Gebran Lebanese Cuisine,"175 Wattle St, Mount Lewis NSW 2190",(02) 9707 3055,,https://gebran.com.au/,732,0,0%,4.0
Summerland Bankstown,"457 Chapel Rd, Bankstown NSW 2200",(02) 9708 5107,,,302,0,0%,4.3
Shawerma Aldaya'a,"Unit 5/244 The Boulevarde, Punchbowl NSW 2196",(02) 9124 9999,info@shawerma-aldayaa.com,https://shawerma-aldayaa.com/,91,4,20%,4.0
Al Aseel Restaurant Bankstown,"8 Greenfield Parade, Bankstown NSW 2200",(02) 7258 5660,,https://www.alaseel.com.au/,1143,8,40%,4.3
Zia Kitchen,"62 Canarys Rd, Roselands NSW 2196",(02) 9750 5122,manager@cafezia.com.au,http://www.ziakitchen.com.au/,878,0,0%,4.0
Zahid Restaurant,"361 Chapel Rd, Bankstown NSW 2200",(02) 9709 8911,order@zahidrestaurant.com.au,https://zahidrestaurant.com.au/,548,6,30%,3.9
YUM YUM LEBANESE PIZZA BANKSTOWN,"10 Fetherstone St, Bankstown NSW 2200",(02) 9790 4124,,,116,14,70%,4.7
My Canh Restaurant,"29 Greenfield Parade, Bankstown NSW 2200",(02) 9796 7586,,http://restaurantwebexperts.com/MyCanh/,231,0,0%,4.4
Mam Mam Bankstown Restaurant,"Shop 1/313 Chapel Rd, Bankstown NSW 2200",(02) 9709 5662,,,343,0,0%,4.4
"Cravery Crepes, Acai, fresh juices & ice cream shop","808 Punchbowl Rd, Punchbowl NSW 2196",0478 417 943,,https://www.order.store/store/cravery/QG0_GNZCWZCMTx4222C8Ew,141,4,20%,4.2
Mirage Hotel Punchbowl,"802 Punchbowl Rd, Punchbowl NSW 2196",(02) 9759 1538,,,88,0,0%,3.9
Bankstown RSL Club,"1 Meredith St, 25 Marion St, Bankstown NSW 2200",(02) 8713 0700,reception@bankstownrsl.com.au,https://www.bankstownrsl.com.au/,2280,0,0%,3.9
Bankstown Lebanese Restaurant,"19 Restwell St, Bankstown NSW 2200",(02) 9793 8710,,http://facebook.com/Bankstown-Lebanese-Restaurant-322089037834686/,300,0,0%,4.5
Hurricanes Grill Bankstown,"Little Saigon Plaza Bankstown, 462 Chapel Rd, Bankstown NSW 2200",(02) 8772 7526,reservations@hgcs.com.au,https://hurricanesgrillrestaurants.com.au/hurricanes-grill-bankstown/,258,12,60%,4.1
BBQ City Buffet,"Little Saigon Plaza, Level 5/462 Chapel Rd, Bankstown NSW 2200",(02) 8739 1697,bbqcitybankstown@gmail.com,https://www.bbqcity.com.au/,1972,20,100%,4.3
Tai Ky Restaurant,"1/44 Bankstown City Plaza, Bankstown NSW 2200",(02) 9791 6482,,,307,2,10%,4.1
✅ Thai It Roselands | Thai Food in Sydney,"1278 Canterbury Rd, Roselands NSW 2196",(02) 9758 9991,info@thaiit.com.au,http://www.thaiit.com.au/,490,18,90%,3.9
AN Restaurant,"27 Greenfield Parade, Bankstown NSW 2200",(02) 9796 7826,,http://www.anrestaurant.com.au/,3687,0,0%,4.1
Dougies Grill Bankstown,"24 Restwell St, Bankstown NSW 2200",(02) 8764 4404,,http://www.dougiesgrill.com.au/,914,6,30%,4.3
Banh Mi Bay Ngo Bankstown,"49 Bankstown City Plaza, Bankstown NSW 2200",(02) 9709 8106,,https://instagram.com/BanhMiBayNgo,403,4,20%,4.4
VBites,"Shop 3/313 Chapel Rd, Bankstown NSW 2200",(02) 9709 3332,,https://www.order.store/store/v-bites/x1NIT6VJQH-iLQOokYu7Ig,369,0,0%,4.0
Pizza on the boulevarde,"246 The Boulevarde, Punchbowl NSW 2196",0459 538 498,,,110,12,60%,4.2
Rabieh Sweets & Gelato,"769A Punchbowl Rd, Punchbowl NSW 2196",(02) 9708 4103,,,302,0,0%,4.4
TC Brothers,"203A Canterbury Rd, Bankstown NSW 2200",(02) 9790 0444,,http://www.tcbrothers.com.au/,1518,0,0%,4.2
Liberty Palace,"2/256 Chapel Rd, Bankstown NSW 2200",0408 066 966,libertybankstown9988@gmail.com,https://www.libertypalace.au/,307,6,30%,3.9
Ampol Foodary Punchbowl,"Canterbury Rd Cnr, 1285-1289 Duncan St, Punchbowl NSW 2196",(02) 9740 4841,punchbowl@ampolretail.com.au,https://locations.ampol.com.au/en/ampol-foodary-punchbowl,225,18,90%,3.8
La Pizza,"Shop4/232 South Terrace, Bankstown NSW 2200",(02) 9791 0900,,https://lapizzaitalian.com.au/,691,0,0%,4.4
Thang Long,"24 Bankstown City Plaza, Bankstown NSW 2200",(02) 9796 4393,,http://www.thanglongrestaurant.com.au/,717,0,0%,4.3
Pakwaan Indian Roselands,"SHOPPING CENTRE, 24 Roselands Ave, G/038 Opposite Coles, Roselands NSW 2196",(02) 9758 9216,,,149,8,40%,4.3
Miami Pizza,"Unit 3/7 Fetherstone St, Bankstown NSW 2200",(02) 8764 4477,,,637,0,0%,4.4
The Broadway Plaza,"1 Broadway, Punchbowl NSW 2196",(02) 8599 2003,contact@thebroadwayplaza.com.au,https://thebroadwayplaza.com.au/,461,0,0%,4.2
Lebanese Mt Lewis Pizzeria,"165 Wattle St, Mount Lewis NSW 2190",(02) 9791 1321,,https://www.mtlewispizzeria.com.au/,976,4,20%,4.4
Lucky Cheng's,"8 Greenfield Parade, Bankstown NSW 2200",(02) 9722 9810,,https://www.bankstownsports.com/lucky-chengs?utm_content=Lucky+Cheng%27s+-+Bankstown&utm_campaign=Google+My+Business&utm_medium=organic&utm_source=google&utm_term=plcid_12504585402615414267,296,20,100%,3.8
Manoush and Co,"78 Gibson Ave, Padstow NSW 2211",0469 078 974,,,109,0,0%,4.6
Anytime Fitness Punchbowl,"1 Broadway, Punchbowl NSW 2196",0435 262 743,punchbowl@anytimefitness.com.au,https://www.anytimefitness.com.au/gyms/au-1312/punchbowl-nsw-2196/,139,20,100%,4.5
Royal Bait Al Mandi In Lakemba Sydney,"154 Haldon St, Lakemba NSW 2195",(02) 8378 7678,,http://www.royalmandi.com.au/,350,0,0%,4.1
Greenfield Station Bistro,"8 Greenfield Parade, Bankstown NSW 2200",(02) 9722 9888,,https://www.bankstownsports.com/greenfield-station-bistro?utm_content=Greenfield+Station+Bistro+-+Bankstown&utm_campaign=Google+My+Business&utm_medium=organic&utm_source=google&utm_term=plcid_7530745203319929316,248,18,90%,3.7
Pista House Lakemba,"Shop 3/61/67 Haldon St, Lakemba NSW 2195",(02) 9237 3168,,,1760,0,0%,3.7
Sydney Star Kebab Bankstown,"12 Marion St, Bankstown NSW 2200",(02) 9708 5315,,,156,0,0%,4.2
Thư Béo Restaurant Bankstown,"296 Chapel Rd, Bankstown NSW 2200",0416 199 219,,,117,2,10%,3.7
Aji Japanese,"171 Wattle St, Mount Lewis NSW 2190",(02) 9791 9156,bookings@gebran.com.au,http://ajijapanese.com.au/,85,0,0%,4.0
Little Saigon Pho,"201/462 Chapel Rd, Bankstown NSW 2200",0493 146 409,info@test.com,https://revu.website/142413/,360,8,40%,4.1
SHAH GHOUSE Restaurant,"276 The Boulevarde, Punchbowl NSW 2196",(02) 9740 6195,,,146,14,70%,4.4
Jasmin Lebanese Restaurant,"30B Haldon St, Lakemba NSW 2195",0450 288 071,l.elmay@yahoo.com,https://jasminlebaneselakemba.com.au/,1216,4,20%,3.9
Hot Rocks Charcoal Chicken,"199 Canterbury Rd, Bankstown NSW 2200",,,,265,2,10%,4.4
Black Rabbit,"1208 Canterbury Rd, Roselands NSW 2196",(02) 9750 4934,info@blkrabbit.com.au,https://www.blkrabbit.com.au/,510,2,10%,4.5
Billy's Carwash & Cafe,"69-71 Belmore Rd North, Punchbowl NSW 2196",1300 418 145,admin@billyscarwashcafe.com.au,https://billyscarwashcafe.au/,415,6,30%,4.8
Get Fried Punchbowl,"1546 Canterbury Rd, Punchbowl NSW 2196",0474 328 862,contact@getfried.com.au,https://getfried.com.au/,158,4,20%,4.7
Mad Manoush,"11-15 shop b3, Moxon Rd, Punchbowl NSW 2196",(02) 9790 2568,,,257,0,0%,4.8
The Coffee Emporium,"Shop 242 Centro Roselands Shopping Centre, Roselands Dr, Roselands NSW 2196",(02) 9759 1927,supportoffice@thecoffeeemporium.com.au,http://www.thecoffeeemporium.com.au/,285,0,0%,4.6
Divino Gelato,"100 Columbine Ave, Punchbowl NSW 2196",0434 909 909,info@divnogelato.com.au,http://www.divinogelato.com.au/,107,14,70%,4.8
Dounya Bakery Punchbowl,"1229 Canterbury Rd, Punchbowl NSW 2196",(02) 9759 3371,,,84,0,0%,4.6
La Booza,"10-12 Park Ave, Punchbowl NSW 2196",(02) 9750 9795,,,99,4,20%,4.1
Franky & Co Bankstown,"Central, K1202 North Terrace, Bankstown NSW 2200",,orders@frankyandco.com.au,http://www.frankyandco.com.au/,82,0,0%,4.3
The Shed Cafe - Roselands,"Shopping Centre, Kiosk K0004/24 Roselands Dr, Roselands NSW 2196",(02) 9758 9837,,https://theshedcafe.com.au/roselands?utm_content=The+Shed+Cafe+-+Roselands&utm_campaign=Google+My+Business&utm_medium=organic&utm_source=google&utm_term=plcid_5592360405092840297,93,4,20%,4.1
2 Smokin' Arabs,"1 Homedale Rd, Bankstown NSW 2200",0404 255 050,,,619,10,50%,4.8
Zoom Carwash Cafe Punchbowl,"1518 Canterbury Rd, Punchbowl NSW 2196",(02) 9791 9111,sales@zoomcarwashcafe.com.au,http://www.zoomcarwashcafe.com.au/,304,4,20%,3.9
Monastery of Saint Charbel Lebanese Maronite Order,"142 Highclere Ave, Punchbowl NSW 2196",(02) 9740 0998,info.church@stcharbel.nsw.edu.au,http://www.stcharbel.org.au/,646,0,0%,4.8
Canterbury Car Wash & Cafe,"153-155 Canterbury Rd, Bankstown NSW 2200",(02) 9790 3196,,,188,2,10%,3.9
Sweet City Cafe,"Shop 1/232 South Terrace, Bankstown NSW 2200",(02) 9790 6886,,http://www.sweetcitycafe.com.au/?utm_source=LocalPacks&utm_medium=organic&utm_campaign=SweetCityCafe,274,0,0%,3.7
Maple & Co Cafe Bankstown,"Central Bankstown, Shop 316 Level 1, Bankstown NSW 2200",(02) 9709 3598,,,235,10,50%,3.6
Phở Cafe,"92 Bankstown City Plaza, Bankstown NSW 2200",(02) 8102 4518,,,94,0,0%,4.5
Shahi Dera,"969-971 Canterbury Rd, Lakemba NSW 2195",(02) 8959 9525,orders@shahidera.com.au,https://www.shahidera.com.au/,203,16,80%,4.7
Mandi king lakemba,"99 Haldon St, Lakemba NSW 2195",(02) 8040 1251,,,533,0,0%,4.4
Afghan Sufra,"122 Haldon St, Lakemba NSW 2195",0448 064 363,,https://afghan-sufra.yumbojumbo.com.au/,2215,18,90%,4.5
Sultano cafe,"32 Railway Parade, Lakemba NSW 2195",(02) 8123 7295,yourmail@gmail.com,https://www.ozfoodhunter.com.au/sultano-cafe,461,12,60%,4.8
Yemen Gate Restaurant مطعم باب اليمن,"135 Haldon St, Lakemba NSW 2195",(02) 9758 0000,yemengate8@gmail.com,https://www.facebook.com/share/TsKBn9nW2XT1hDtX/,252,0,0%,4.7
